hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,1,100.00,100.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,2,100.92,100.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,3,101.31,100.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,4,101.71,101.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,5,102.33,101.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,6,102.78,101.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,7,102.98,101.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,8,103.15,102.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,9,102.84,102.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,10,103.08,102.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,11,103.99,103.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,12,103.76,103.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,1,103.87,103.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,2,104.36,104.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,3,105.53,105.16
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,4,105.93,105.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,5,106.54,105.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,6,106.93,105.59
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,7,107.14,105.99
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,8,107.59,106.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,9,107.58,106.71
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,10,108.19,107.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,11,108.42,107.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,12,108.76,108.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,1,108.49,108.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,2,108.33,108.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,3,109.29,108.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,4,110.24,109.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,5,110.85,109.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,6,111.95,110.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,7,112.16,110.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,8,112.63,111.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,9,113.13,112.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,10,113.25,112.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,11,113.57,112.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,12,113.81,113.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,1,114.04,114.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,2,114.41,114.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,3,115.16,114.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,4,116.35,115.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,5,117.17,116.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,6,117.90,116.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,7,117.91,116.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,8,118.39,117.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,9,118.40,117.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,10,119.00,118.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,11,119.16,118.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,12,118.90,118.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,1,119.11,119.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,2,120.00,120.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,3,120.50,120.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,4,121.70,120.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,5,122.04,120.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,6,123.23,121.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,7,123.71,122.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,8,124.30,122.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,9,124.52,123.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,10,124.78,123.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,11,124.72,124.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,12,125.12,124.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,1,124.88,125.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,2,125.95,125.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,3,126.76,126.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,4,128.31,127.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,5,128.99,127.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,6,129.53,127.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,7,130.12,128.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,8,129.85,128.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,9,130.08,128.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,10,129.91,128.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,11,130.71,130.09
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,12,130.51,130.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,1,129.95,130.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,2,130.66,130.64
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,3,131.84,131.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,4,132.21,131.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,5,133.61,132.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,6,134.03,132.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,7,134.39,132.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,8,134.62,133.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,9,134.51,133.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,10,134.87,133.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,11,134.79,134.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,12,134.65,134.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,1,134.64,135.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,2,135.75,135.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,3,136.61,136.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,4,137.36,136.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,5,138.44,136.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,6,139.37,137.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,7,139.76,137.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,8,140.11,138.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,9,140.61,139.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,10,141.18,140.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,11,141.49,140.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,12,141.38,141.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,1,141.40,141.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,2,142.56,142.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,3,143.52,143.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,4,144.31,143.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,5,146.06,144.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,6,146.74,144.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,7,147.54,145.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,8,148.23,146.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,9,148.20,146.76
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,10,148.62,147.44
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,11,148.33,147.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,12,148.56,148.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,1,149.75,150.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,2,149.27,149.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,3,151.32,150.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,4,152.35,151.46
