YEAR,ENERGY_SOURCE,GENERATION_MWh
1990,Total,"102,071,533"
1990,Coal,"7,390,279"
1990,Hydroelectric Conventional,"87,466,708"
1990,Natural Gas,"288,058"
1990,Nuclear,"5,742,027"
1990,Other,"3,750"
1990,Other Biomass,"6,499"
1990,Other Gases,"8,460"
1990,Petroleum,"42,981"
1990,Pumped Storage,0
1990,Wood and Wood Derived Fuels,"1,122,771"
1991,Total,"102,870,562"
1991,Coal,"7,944,779"
1991,Hydroelectric Conventional,"89,342,397"
1991,Natural Gas,"460,424"
1991,Nuclear,"4,229,868"
1991,Other,3
1991,Other Biomass,"46,633"
1991,Other Gases,"97,467"
1991,Petroleum,"31,164"
1991,Pumped Storage,0
1991,Wood and Wood Derived Fuels,"717,827"
1992,Total,"86,482,429"
1992,Coal,"9,658,148"
1992,Hydroelectric Conventional,"68,324,659"
1992,Natural Gas,"1,273,763"
1992,Nuclear,"5,692,379"
1992,Other,1
1992,Other Biomass,"172,810"
1992,Other Gases,"234,023"
1992,Petroleum,"25,745"
1992,Pumped Storage,0
1992,Wood and Wood Derived Fuels,"1,100,901"
1993,Total,"87,995,776"
1993,Coal,"8,835,079"
1993,Hydroelectric Conventional,"67,312,383"
1993,Natural Gas,"3,197,945"
1993,Nuclear,"7,134,966"
1993,Other,7
1993,Other Biomass,"214,990"
1993,Other Gases,"222,852"
1993,Petroleum,"59,434"
1993,Pumped Storage,0
1993,Wood and Wood Derived Fuels,"1,018,120"
1994,Total,"88,586,476"
1994,Coal,"9,831,332"
1994,Hydroelectric Conventional,"65,575,487"
1994,Natural Gas,"4,820,582"
1994,Nuclear,"6,739,749"
1994,Other,"31,282"
1994,Other Biomass,"224,804"
1994,Other Gases,"299,161"
1994,Petroleum,"45,419"
1994,Pumped Storage,0
1994,Wood and Wood Derived Fuels,"1,018,660"
1995,Total,"102,197,586"
1995,Coal,"5,902,945"
1995,Hydroelectric Conventional,"82,500,153"
1995,Natural Gas,"4,889,604"
1995,Nuclear,"6,941,878"
1995,Other,179
1995,Other Biomass,"197,288"
1995,Other Gases,"550,836"
1995,Petroleum,"178,915"
1995,Pumped Storage,0
1995,Wood and Wood Derived Fuels,"1,035,788"
1996,Total,"118,658,132"
1996,Coal,"8,067,127"
1996,Hydroelectric Conventional,"98,517,855"
1996,Natural Gas,"4,707,267"
1996,Nuclear,"5,588,000"
1996,Other,"1,952"
1996,Other Biomass,"167,369"
1996,Other Gases,"300,221"
1996,Petroleum,"187,236"
1996,Pumped Storage,0
1996,Wood and Wood Derived Fuels,"1,121,105"
1997,Total,"122,126,167"
1997,Coal,"6,990,519"
1997,Hydroelectric Conventional,"104,170,551"
1997,Natural Gas,"2,961,661"
1997,Nuclear,"6,244,135"
1997,Other Biomass,"222,483"
1997,Other Gases,"290,495"
1997,Petroleum,"228,589"
1997,Pumped Storage,0
1997,Wood and Wood Derived Fuels,"1,017,734"
1998,Total,"102,158,508"
1998,Coal,"9,312,205"
1998,Hydroelectric Conventional,"79,814,652"
1998,Natural Gas,"4,346,349"
1998,Nuclear,"6,916,065"
1998,Other,"1,541"
1998,Other Biomass,"211,461"
1998,Other Gases,"348,881"
1998,Petroleum,"87,043"
1998,Pumped Storage,0
1998,Wood and Wood Derived Fuels,"1,120,311"
1999,Total,"117,084,018"
1999,Coal,"8,692,479"
1999,Hydroelectric Conventional,"96,989,382"
1999,Natural Gas,"3,707,237"
1999,Nuclear,"6,085,893"
1999,Other,44
1999,Other Biomass,"206,823"
1999,Other Gases,"221,354"
1999,Petroleum,"51,495"
1999,Pumped Storage,0
1999,Wood and Wood Derived Fuels,"1,129,311"
2000,Total,"108,236,880"
2000,Coal,"9,444,564"
2000,Hydroelectric Conventional,"80,262,889"
2000,Natural Gas,"7,700,226"
2000,Nuclear,"8,605,232"
2000,Other Biomass,"250,667"
2000,Other Gases,"247,892"
2000,Petroleum,"484,512"
