"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72643514991","2020-01-01T00:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.69","7","11","0.00",,,,"84","29.74","CLR:00","28.74","8.00","10","210",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/20 00:56:02 METAR KEAU 010656Z 21004KT 8SM CLR M12/M14 A2969 RMK AO2 SLP072 T11171139","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T01:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.68","6","10","0.00",,,,"84","29.73","CLR:00","28.73","8.00","9","210",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09701/01/20 01:56:02 METAR KEAU 010756Z 21004KT 8SM CLR M12/M14 A2968 RMK AO2 SLP067 I1001 T11221144","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T02:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.66","3","8","0.00",,"+0.05","6","80","29.71","CLR:00","28.71","9.00","7","150",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10301/01/20 02:56:02 METAR KEAU 010856Z 15004KT 9SM CLR M13/M16 A2966 RMK AO2 SLP062 I3001 T11331161 56017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T03:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.64","5","9","0.00",,,,"84","29.69","CLR:00","28.69","9.00","8","180",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09701/01/20 03:56:02 METAR KEAU 010956Z 18003KT 9SM CLR M13/M15 A2964 RMK AO2 SLP053 I1000 T11281150","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T04:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.59","4","10","0.00",,,,"76","29.64","CLR:00","28.64","10.00","9","170",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09201/01/20 04:56:02 METAR KEAU 011056Z 17004KT 10SM CLR M12/M16 A2959 RMK AO2 SLP038 T11221156","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T05:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.57","4","7","0.00",,"+0.09","6","87","29.62","CLR:00","28.62","10.00","6","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12201/01/20 05:56:02 METAR KEAU 011156Z 00000KT 10SM CLR M14/M16 A2957 RMK AO2 SLP031 I1000 I6001 T11391156 11117 21139 56030","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T06:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.55","3","8","0.00",,,,"80","29.60","CLR:00","28.60","10.00","7","070",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09801/01/20 06:56:02 METAR KEAU 011256Z 07004KT 10SM CLR M13/M16 A2955 RMK AO2 SLP024 I1000 T11331161","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T07:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.52","2","7","0.00",,,,"80","29.57","CLR:00","28.57","8.00","6","050",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09701/01/20 07:56:02 METAR KEAU 011356Z 05003KT 8SM CLR M14/M17 A2952 RMK AO2 SLP015 I1000 T11391167","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T08:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.51","6","11","0.00",,"+0.06","6","81","29.56","CLR:00","28.56","9.00","10","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10301/01/20 08:56:02 METAR KEAU 011456Z 00000KT 9SM CLR M12/M14 A2951 RMK AO2 SLP010 I3000 T11171144 56021","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
"72643514991","2020-01-01T09:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.49","13","16","0.00",,,,"88","29.54","CLR:00","28.54","9.00","15","160",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/20 09:56:02 METAR KEAU 011556Z 16004KT 9SM CLR M09/M11 A2949 RMK AO2 SLP005 T10891106","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-20"
