section,sentence,mentions_percent,mentions_billion,percent_values,billion_values
GDP by industry,"From an industry perspective, the increase in real GDP reflected an increase of 2",False,False,[],[]
GDP by industry,3 percent in real value  added for private services-producing industries that was partly offset by decreases of 7,True,False,[3.0],[]
GDP by industry,8 percent in  government and 1,True,False,[8.0],[]
GDP by industry,8 percent in private goods-producing industries,True,False,[8.0],[]
GDP by industry,"The leading industry contributors to  the increase in real GDP were wholesale trade, information, and health care and social assistance",False,False,[],[]
Related economic measures,"Real final sales to private domestic purchasers, the sum of consumer spending and gross private fixed  investment, increased 1",False,False,[],[]
Related economic measures,"8 percent in the fourth quarter, revised down 0",True,False,[8.0],[]
Related economic measures,1 percentage point from the  previous estimate,False,False,[],[]
Related economic measures,Real gross output decreased 0,False,False,[],[]
Related economic measures,"5 percent in the fourth quarter, reflecting decreases of 3",True,False,[5.0],[]
Related economic measures,2 percent for  private goods-producing industries and 4,True,False,[2.0],[]
Related economic measures,7 percent for government that were partly offset by an  increase of 1,True,False,[7.0],[]
Related economic measures,1 percent for private services-producing industries,True,False,[1.0],[]
Related economic measures,Real gross domestic income (GDI) increased 2,False,False,[],[]
Related economic measures,"6 percent in the fourth quarter, compared with an  increase of 3",True,False,[6.0],[]
Related economic measures,5 percent in the third quarter,True,False,[5.0],[]
Related economic measures,The average of real GDP and real GDI increased 1,False,False,[],[]
Related economic measures,"5 percent  in the fourth quarter, compared with 4",True,False,[5.0],[]
Related economic measures,0 percent in the third quarter,True,False,[0.0],[]
Related economic measures,"13 Federal government Nondurable goods manufacturing Transportation and warehousing Construction Utilities Other services, except government Management of companies and enterprises Arts, entertainment, and recreation Educational services Finance and insurance Administrative and waste management services Accommodation and food services Durable goods manufacturing State and local government Mining Professional, scientific, and technical services Real estate and rental and leasing Agriculture, forestry, fishing, and hunting Retail trade Health care and social assistance Information Wholesale trade Percentage points, seasonally adjusted annual rates Private goods Private services Government US Bureau of Economic Analysis   Contributions to Percent Change in Real GDP by Industry Group, 2025:Q4 Real GDP increased 0",True,False,[],[]
Related economic measures,5 percent   Page 3 of 9    Profits from current production (corporate profits with inventory valuation and capital consumption  adjustments) increased $246,True,False,[5.0],[]
Related economic measures,"9 billion in the fourth quarter, compared with an increase of $175",False,True,[],[9.0]
Related economic measures,6 billion  in the third quarter,False,True,[],[6.0]
Related economic measures,The price index for gross domestic purchases increased 3,False,False,[],[]
Related economic measures,"7 percent in the fourth quarter, revised down  0",True,False,[7.0],[]
Related economic measures,1 percentage point from the previous estimate,False,False,[],[]
Related economic measures,The personal consumption expenditures (PCE) price  index increased 2,False,False,[],[]
Related economic measures,"9 percent, and the PCE price index excluding food and energy increased 2",True,False,[9.0],[]
Related economic measures,"7 percent,  both the same as previously estimated",True,False,[7.0],[]
Related economic measures,Real GDP and Related Measures  [Percent change (SAAR) from 2025:Q3 to 2025:Q4]   Advance  estimate  Second  estimate  Third   estimate  Real GDP 1,False,False,[],[]
Related economic measures,5  Current-dollar GDP 5,False,False,[],[]
Related economic measures,2  Real final sales to private domestic purchasers 2,False,False,[],[]
Related economic measures,6  Average of real GDP and real GDI … … 1,False,False,[],[]
Related economic measures,5  Gross domestic purchases price index 3,False,False,[],[]
Related economic measures,7  PCE price index 2,False,False,[],[]
Related economic measures,9  PCE price index excluding food and energy 2,False,False,[],[]
Related economic measures,7    US Bureau of Economic Analysis             Page 4 of 9,False,False,[],[]
GDP by state,"From a regional perspective, real GDP increased in 35 states in the fourth quarter of 2025, with the  percent change at an annual rate ranging from 3",True,False,[],[]
GDP by state,8 percent in North Dakota to –8,True,False,[8.0],[]
GDP by state,3 percent in the  District of Columbia and remaining unchanged in Indiana and Maine,True,False,[3.0],[]
GDP by state,"Agriculture, forestry, fishing, and hunting was the leading contributor to the increase in real GDP in  North Dakota",False,False,[],[]
GDP by state,Federal civilian was the leading contributor to the decrease in the District of Columbia,False,False,[],[]
Personal income by state,"In the fourth quarter of 2025, current-dollar personal income increased $217",False,False,[],[]
Personal income by state,4 percent at  an annual rate,True,False,[4.0],[]
Personal income by state,"Personal income increased in 47 states and the District of Columbia, with the percent  change at an annual rate in current-dollar personal income ranging from 41",True,False,[],[]
Personal income by state,5 percent in Hawaii to –4,True,False,[5.0],[]
Personal income by state,0  percent in North Dakota,True,False,[0.0],[]
Personal income by state,Earnings (compensation plus proprietors’ income) increased in 43 states,False,False,[],[]
Personal income by state,The percent change in  earnings ranged from 5,True,False,[],[]
Personal income by state,9 percent in Massachusetts to –7,True,False,[9.0],[]
Personal income by state,1 percent in the North Dakota,True,False,[1.0],[]
Personal income by state,Personal current transfer receipts increased in 42 states and the District of Columbia,False,False,[],[]
Personal income by state,The percent  change in transfer receipts ranged from 343,True,False,[],[]
Personal income by state,4 percent in Hawaii to –4,True,False,[4.0],[]
Personal income by state,"The increase in  transfer receipts in Hawaii reflected a settlement paid by a domestic electric utility to US households to  compensate for claims of personal injury, property damage, and other losses related to the 2023 Maui  wildfire",False,False,[],[]
Personal income by state,"Property income (dividends, interest, and rent) increased in all 50 states and the District of Columbia",False,False,[],[]
Personal income by state,The percent change ranged from 2,True,False,[],[]
Personal income by state,6 percent in Wyoming to 0,True,False,[6.0],[]
Personal income by state,9 percent in West Virginia,True,False,[9.0],[]
Annual estimates,Real GDP increased 2,False,False,[],[]
Annual estimates,"1 percent in 2025 (from the 2024 annual level to the 2025 annual level), the same  as previously estimated",True,False,[1.0],[]
Annual estimates,The increase in real GDP in 2025 primarily reflected increases in consumer  spending and investment,False,False,[],[]
Annual estimates,"From an industry perspective in 2025, real value added for private services-producing industries  increased 2",False,False,[],[]
Annual estimates,"7 percent, private goods-producing industries increased 1",True,False,[7.0],[]
Annual estimates,"2 percent, and government  increased less than 0",True,False,[2.0],[]
Annual estimates,"From a regional perspective, real GDP increased in all 50 states and the  District of Columbia, with the percent change ranging from 3",True,False,[],[]
Annual estimates,1 percent in South Carolina and Florida to  0,True,False,[1.0],[]
Annual estimates,3 percent in North Dakota,True,False,[3.0],[]
Annual estimates,The price index for gross domestic purchases increased 2,False,False,[],[]
Annual estimates,"6 percent in 2025, the same as previously  estimated",True,False,[6.0],[]
Annual estimates,The PCE price index increased 2,False,False,[],[]
Annual estimates,"6 percent, and the PCE price index excluding food and  energy increased 2",True,False,[6.0],[]
Annual estimates,"8 percent, both the same as previously estimated",True,False,[8.0],[]
Annual estimates,Real GDI increased 2,False,False,[],[]
Annual estimates,"4 percent in 2025, compared with an increase of 3",True,False,[4.0],[]
Annual estimates,The average  of real GDP and real GDI increased 2,False,False,[],[]
Annual estimates,"3 percent in 2025, compared with an increase of 2",True,False,[3.0],[]
Annual estimates,Profits from current production increased $275,False,False,[],[]
Annual estimates,"7 billion in 2025, compared with an increase of $184",False,True,[],[7.0]
Annual estimates,Current-dollar personal income increased 4,False,False,[],[]
Annual estimates,9 percent in 2025 (from the 2024 annual level to the 2025  annual level),True,False,[9.0],[]
Annual estimates,"From a regional perspective, personal income increased in all 50 states and the District of  Columbia, with the percent change ranging from 6",True,False,[],[]
Annual estimates,9 percent in Hawaii to 3,True,False,[9.0],[]
Annual estimates,2 percent in the District of  Columbia,True,False,[2.0],[]
Annual estimates,"For definitions, statistical conventions, updates to GDP, and more information about national  statistics, visit additional information about national statistics",False,False,[],[]
